"anio","iso3","pais_nombre","produccion_captura","produccion_acuicola","produccion_total","participacion"
"2022","SVK","Eslovaquia","1895","2614","4509","0.0000200789573475198"
"2022","SVN","Eslovenia","272.257","1643.7","1915.957","0.00000853191813765401"
"2022","SWE","Suecia","152028.06","11327.2","163355.26","0.000727434752280551"
"2022","SWZ","Eswatini","65","100","165","0.000000734758918239246"
"2022","SYC","Seychelles","137838.332","0","137838.332","0.000613805719468013"
"2022","SYR","Siria","4430","1755","6185","0.0000275423267230893"
"2022","TCA","Islas Turcas y Caicos","3241","0","3241","0.00001443244638796"
"2022","TCD","Chad","107000","120","107120","0.000477014395889625"
"2022","TGO","Togo","21505.22","1151","22656.22","0.000100890058779336"
"2022","THA","Tailandia","1406934.33","1001181","2408115.33","0.0107235406961585"
"2022","TJK","Tayikistán","2425","2248","4673","0.0000208092631814061"
"2022","TKM","Turkmenistán","15097","175","15272","0.0000680075042384835"
"2022","TLS","Timor-Leste","6706.6","1125","7831.6","0.0000348747754186817"
"2022","TON","Tonga","1326.038","100","1426.038","0.00000635026750453369"
"2022","TTO","Trinidad y Tobago","13069.012","7.4","13076.412","0.0000582303656701255"
"2022","TUN","Túnez","128705.372","20926.057","149631.429","0.000666321375191713"
"2022","TUR","Turquía","335002.9","514823","849825.9","0.00378434641803451"
"2022","TUV","Tuvalu","42781","1","42782","0.000190511854788554"
"2022","TWN","Taiwán","614611.218","264251.862","878863.08","0.00391365142994674"
"2022","TZA","Tanzanía","472925.761","75896.046","548821.807","0.00244394980131775"
"2022","UGA","Uganda","444935","101377","546312","0.00243277341903709"
"2022","UKR","Ucrania","22720.929","14630","37350.929","0.000166326837498612"
"2022","URY","Uruguay","68781.641","91","68872.641","0.000306695679984485"
"2022","USA","Estados Unidos","4797717","478823.932","5276540.932","0.0234968818620692"
"2022","UZB","Uzbekistán","55000","130274","185274","0.000825040750411261"
"2022","VCT","San Vicente y las Granadinas","1585","13","1598","0.00000711602879603828"
"2022","VEN","Venezuela","212118.571","52580","264698.571","0.00117872506477233"
"2022","VGB","Islas Vírgenes Británicas","1134.438","1","1135.438","0.00000505620119156202"
"2022","VIR","Islas Vírgenes de EEUU","385","8","393","0.0000017500621507153"
"2022","VNM","Vietnam","3596414.58","5170374.52","8766789.1","0.0390392513669552"
"2022","VUT","Vanuatu","88117.341","4","88121.341","0.000392411764769405"
"2022","WSM","Samoa","9589.25","14","9603.25","0.0000427640823126124"
"2022","YEM","Yemen","178190","10","178200","0.000793539631698386"
"2022","ZAF","Sudáfrica","582092.53","11355.02","593447.55","0.00264267199921049"
"2022","ZMB","Zambia","129803","75648","205451","0.000914890633401039"
"2022","ZWE","Zimbabwe","85608","8353.01","93961.01","0.0004184163034198"
"2022","AIA","Anguila","840","0","840","0.00000374059085649071"
"2022","AND","Andorra","0","0","0","0"
"2022","ATF","Tierras Australes Francesas","420","0","420","0.00000187029542824535"
"2022","BLM","San Barthélemy","100","0","100","0.000000445308435296513"
"2022","BMU","Bermuda","392","0","392","0.00000174560906636233"
"2022","COM","Comoras","18933.313","0","18933.313","0.0000843116398700913"
"2022","CUW","Curazao","8826.804","0","8826.804","0.00003930650277909"
"2022","DJI","Djibouti","3120.5","0","3120.5","0.0000138958497234277"
"2022","GIB","Gibraltar","1","0","1","0.00000000445308435296513"
"2022","GRL","Groenlandia","371688","0","371688","0.0016551580169849"
"2022","IMN","Isla de Man","3041","0","3041","0.000013541829517367"
"2022","IOT","Territorio Británico del Océano Índico","0","0","0","0"
"2022","LIE","Liechtenstein","0","0","0","0"
"2022","LUX","Luxemburgo","0","0","0","0"
"2022","MAC","Macao","1500","0","1500","0.00000667962652944769"
"2022","MAF","San Martín (parte francesa)","90","0","90","0.000000400777591766862"
"2022","MCO","Mónaco","1","0","1","0.00000000445308435296513"
"2022","MDV","Maldivas","155205.443","0","155205.443","0.000691142929718321"
"2022","MNG","Mongolia","0","0","0","0"
"2022","MRT","Mauritania","780382.798","0","780382.798","0.00347511042709695"
"2022","MSR","Montserrat","30","0","30","0.000000133592530588954"
"2022","NFK","Isla Norfolk","0","0","0","0"
"2022","NIU","Niue","40","0","40","0.000000178123374118605"
"2022","PCN","Pitcairn","3","0","3","0.0000000133592530588954"
"2022","SHN","Santa Elena","494.68","0","494.68","0.00000220285176772479"
"2022","SJM","Islas Svalbard y Jan Mayen","0","0","0","0"
"2022","SMR","San Marino","0","0","0","0"
"2022","SOM","Somalia","30000","0","30000","0.000133592530588954"
"2022","STP","Santo Tomé y Príncipe","5703.38","0","5703.38","0.0000253976322370143"
"2022","SXM","San Martín (parte holandesa)","253","0","253","0.00000112663034130018"
"2022","TKL","Tokelau","38","0","38","0.000000169217205412675"
"2022","WLF","Wallis y Futuna","204.326","0","204.326","0.000000909880913503953"
